name,categories,city,state,address,postalCode,latitude,longitude
Little Caesars Pizza,"Pizza,Carry-out food,Restaurant,Fast Food,Take Out Restaurants,Pizza Place,Internet and online advertising,Restaurants",Los Angeles,CA,3464 E Cesar E Chavez Ave,90063,34.0404,-118.19067
Taco Bell,"Mexican,Breakfast,Vegetarian,Fast Food,Restaurants",Walnut Ridge,AR,600 Hwy 67 B,72476,36.0759,-90.9542
Sonic Drive-In,"Fast Food,Soda Fountain Shops,Chicken,Hamburgers,Restaurants",Magnolia,AR,1412 East Main,71753,33.2671,-93.222
Dairy Queen Grill & Chill,"Ice Cream Parlors,Fast Food",Mountain Home,AR,140 S Main St,72653,36.3389,-92.3856
McDonald's,"Ice Cream Parlors,Breakfast,Fast Food Restaurant,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops",Andalusia,AL,315 US Hwy 84 By-Pass West,36421,31.3083,-86.4989
Jack's,"Burger Joint,Restaurant,Fast Food Restaurant,Restaurants,Burger Joint and Fast Food Restaurant",Gadsden,AL,1502 Noccalula Rd,35904,34.0394,-86.0204
Jack's,"Hot dog restaurants,American restaurants,Family style restaurants,Hamburger restaurants,Restaurants,Burger Joint and Fast Food Restaurant",Gadsden,AL,2508 W Meighan Blvd,35904,34.0226,-86.0423
McDonald's,"Ice Cream Parlors,Breakfast,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops",Gadsden,AL,2070 Al Hwy 77,35907,33.9237,-86.0232
Zaxby's,"Take Out,Restaurant,Fried Chicken Joint,American Restaurant,Fast Food Restaurants,Cajun & Creole Restaurants,Chicken Restaurants,Restaurants",Madison,AL,100 Ivory Pl,35758,34.6788,-86.7525
Subway,"Delis And Delicatessens,Carry-out food,Restaurant,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Arab,AL,1450 N Brindlee Mountain Pkwy,35016,34.3419,-86.5005
Sonic Drive-In,"Fast Food,Soda Fountain Shops,Chicken,Hamburgers,Restaurants",Dothan,AL,1067 Ross Clark Circle South,36303,31.2182,-85.36
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Soup Restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Bessemer,AL,1205 Lake Dr SE Ste 105,35022,33.3339,-86.9167
Subway,"Delis And Delicatessens,Restaurant,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Warrior,AL,290 Cane Creek Rd,35180,33.8104,-86.8222
Zaxby's,"Restaurant,Take Out,Fried Chicken Joint and American Restaurant,Fried Chicken Joint,American Restaurant,Take Out Restaurants,Fast Food Restaurants,Cajun & Creole Restaurants,Chicken Restaurants,Family Style Restaurants,Restaurants",Fultondale,AL,1725 Morris Ave,35068,33.61,-86.802
McDonald's,"Ice Cream Parlors,Breakfast,Fast Food,Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Restaurants,Frozen Yogurt Shops,Hamburgers & Hot Dogs,American Restaurants,Coffeehouses,Salads,Hamburgers,Sandwich Shops",Pinson,AL,6639 Hwy 151,35126,33.6954,-86.6824
Wendy's,"Burger Joint,Restaurant,Fast Food Restaurant,Fast Food,Restaurants",Montgomery,AL,2231 E South Blvd,36116,32.3276,-86.2698
Whataburger,"Breakfast,Fast Food Restaurants,Fast Food,Restaurants,Hamburgers & Hot Dogs,Burger Joint,American Restaurants,Restaurant,Fast Food Restaurant,Chicken,Hamburgers and Hot Dogs,Hamburgers,Burger Joint and Fast Food Restaurant",Mobile,AL,9968 Airport Blvd,36608,30.671,-88.2782
Burger King,"Fast Food Restaurant,Fast Food",Cullman,AL,1605 Town Square,35055,34.162,-86.8366
McDonald's,"Ice Cream Parlors,Restaurant,Breakfast,Fast Food,Coffeehouses,Salads,Hamburgers,Restaurants,Sandwich Shops",Raymond,WA,100 Willapa Place,98577,46.6808,-123.7389
